FacturaID,Oficina,Ciudad,LineaProducto,PrecioUnitario,Cantidad,Impuestos,Total,FechaCompra,HoraCompra,MetodoPago,Costos,IngresosBrutos,Rating
273-84-2164,C,Glasgow,Electronic accessories,12.05,5,3.01,63.26,16/02/2023,15:53:00,Ewallet,60.25,3.01,5.5
274-05-5470,A,Plymouth,Food and beverages,73.47,4,14.69,308.57,23/02/2023,18:30:00,Cash,293.88,14.69,6
275-28-0149,A,Plymouth,Sports and travel,63.69,1,3.18,66.87,25/02/2023,16:21:00,Cash,63.69,3.18,6
276-54-0879,B,Bristol,Sports and travel,97.74,4,19.55,410.51,12/03/2023,19:53:00,Ewallet,390.96,19.55,6.4
276-75-6884,A,Plymouth,Health and beauty,68.71,3,10.31,216.44,4/03/2023,10:05:00,Cash,206.13,10.31,8.7
277-35-5865,C,Glasgow,Food and beverages,98.97,9,44.54,935.27,9/03/2023,11:23:00,Cash,890.73,44.54,6.7
277-63-2961,B,Bristol,Sports and travel,73.97,1,3.7,77.67,3/02/2023,15:53:00,Credit card,73.97,3.7,5.4
278-86-2735,A,Plymouth,Food and beverages,52.34,3,7.85,164.87,27/03/2023,14:03:00,Cash,157.02,7.85,9.2
278-97-7759,A,Plymouth,Electronic accessories,62.48,1,3.12,65.6,18/02/2023,20:29:00,Cash,62.48,3.12,4.7
279-62-1445,C,Glasgow,Fashion accessories,12.54,1,0.63,13.17,21/02/2023,12:38:00,Cash,12.54,0.63,8.2
279-74-2924,B,Bristol,Electronic accessories,72.17,1,3.61,75.78,4/01/2023,19:40:00,Cash,72.17,3.61,6.1
280-17-4359,C,Glasgow,Health and beauty,90.5,10,45.25,950.25,25/01/2023,13:48:00,Cash,905,45.25,8.1
280-35-5823,B,Bristol,Home and lifestyle,86.72,1,4.34,91.06,17/01/2023,18:45:00,Ewallet,86.72,4.34,7.9
282-35-2475,B,Bristol,Sports and travel,93.31,2,9.33,195.95,25/03/2023,17:53:00,Cash,186.62,9.33,6.3
283-26-5248,C,Glasgow,Food and beverages,98.52,10,49.26,1034.46,30/01/2023,20:23:00,Ewallet,985.2,49.26,4.5
283-79-9594,B,Bristol,Food and beverages,48.51,7,16.98,356.55,25/01/2023,13:30:00,Credit card,339.57,16.98,5.2
284-34-9626,B,Bristol,Home and lifestyle,77.04,3,11.56,242.68,11/02/2023,10:39:00,Credit card,231.12,11.56,7.2
284-54-4231,C,Glasgow,Sports and travel,80.93,1,4.05,84.98,19/01/2023,16:08:00,Credit card,80.93,4.05,9
285-68-5083,C,Glasgow,Sports and travel,24.74,3,3.71,77.93,15/02/2023,17:47:00,Credit card,74.22,3.71,10
286-01-5402,A,Plymouth,Sports and travel,40.23,7,14.08,295.69,30/03/2023,13:22:00,Cash,281.61,14.08,9.6
286-43-6208,C,Glasgow,Food and beverages,87.8,9,39.51,829.71,16/03/2023,19:08:00,Cash,790.2,39.51,9.2
286-62-6248,B,Bristol,Fashion accessories,39.21,4,7.84,164.68,16/01/2023,20:03:00,Credit card,156.84,7.84,9
286-75-7818,B,Bristol,Fashion accessories,69.08,2,6.91,145.07,31/01/2023,19:48:00,Credit card,138.16,6.91,6.9
287-21-9091,A,Plymouth,Home and lifestyle,74.67,9,33.6,705.63,22/01/2023,10:55:00,Ewallet,672.03,33.6,9.4
287-83-1405,A,Plymouth,Health and beauty,25.43,6,7.63,160.21,12/02/2023,19:01:00,Ewallet,152.58,7.63,7
288-38-3758,C,Glasgow,Fashion accessories,84.87,3,12.73,267.34,25/01/2023,18:30:00,Ewallet,254.61,12.73,7.4
288-62-1085,A,Plymouth,Fashion accessories,38.54,5,9.64,202.34,9/01/2023,13:34:00,Ewallet,192.7,9.64,5.6
289-15-7034,A,Plymouth,Sports and travel,82.33,4,16.47,345.79,11/01/2023,10:37:00,Credit card,329.32,16.47,7.5
289-65-5721,B,Bristol,Fashion accessories,81.37,2,8.14,170.88,26/01/2023,19:28:00,Cash,162.74,8.14,6.5
290-68-2984,A,Plymouth,Home and lifestyle,23.75,4,4.75,99.75,16/03/2023,11:22:00,Cash,95,4.75,5.2
291-21-5991,B,Bristol,Health and beauty,61.29,5,15.32,321.77,29/03/2023,14:28:00,Cash,306.45,15.32,7
291-32-1427,B,Bristol,Fashion accessories,21.94,5,5.49,115.18,5/03/2023,12:29:00,Ewallet,109.7,5.49,5.3
291-55-6563,A,Plymouth,Home and lifestyle,34.42,6,10.33,216.85,30/03/2023,12:45:00,Ewallet,206.52,10.33,7.5
291-59-1384,B,Bristol,Electronic accessories,60.3,1,3.02,63.31,28/02/2023,17:38:00,Cash,60.3,3.02,6
296-11-7041,B,Bristol,Health and beauty,27.07,1,1.35,28.42,12/01/2023,20:07:00,Credit card,27.07,1.35,5.3
299-29-0180,B,Bristol,Home and lifestyle,52.18,7,18.26,383.52,9/03/2023,10:54:00,Cash,365.26,18.26,9.3
299-46-1805,B,Bristol,Sports and travel,93.72,6,28.12,590.44,15/01/2023,16:19:00,Cash,562.32,28.12,4.5
300-71-4605,C,Glasgow,Electronic accessories,86.04,5,21.51,451.71,25/02/2023,11:24:00,Ewallet,430.2,21.51,4.8
301-11-9629,A,Plymouth,Sports and travel,19.1,7,6.68,140.38,15/01/2023,10:43:00,Cash,133.7,6.68,9.7
301-81-8610,B,Bristol,Fashion accessories,25.42,8,10.17,213.53,19/03/2023,19:42:00,Credit card,203.36,10.17,6.7
302-15-2162,C,Glasgow,Health and beauty,46.53,6,13.96,293.14,3/03/2023,10:54:00,Credit card,279.18,13.96,4.3
303-96-2227,B,Bristol,Home and lifestyle,97.38,10,48.69,1022.49,2/03/2023,17:16:00,Ewallet,973.8,48.69,4.4
305-03-2383,A,Plymouth,Food and beverages,67.1,3,10.06,211.37,15/02/2023,10:36:00,Cash,201.3,10.06,7.5
305-14-0245,B,Bristol,Home and lifestyle,94.49,8,37.8,793.72,3/03/2023,19:00:00,Ewallet,755.92,37.8,7.5
305-18-3552,B,Bristol,Home and lifestyle,60.38,10,30.19,633.99,12/02/2023,16:19:00,Cash,603.8,30.19,6
305-89-2768,B,Bristol,Home and lifestyle,21.9,3,3.29,68.99,9/01/2023,18:43:00,Ewallet,65.7,3.29,4.7
307-04-2070,A,Plymouth,Fashion accessories,30.62,1,1.53,32.15,5/02/2023,14:14:00,Credit card,30.62,1.53,4.1
307-83-9164,A,Plymouth,Home and lifestyle,60.01,4,12,252.04,25/01/2023,15:54:00,Cash,240.04,12,4.5
307-85-2293,B,Bristol,Home and lifestyle,50.28,5,12.57,263.97,7/03/2023,13:58:00,Ewallet,251.4,12.57,9.7
308-39-1707,A,Plymouth,Fashion accessories,12.09,1,0.6,12.69,26/01/2023,18:19:00,Credit card,12.09,0.6,8.2
308-47-4913,A,Plymouth,Sports and travel,52.26,10,26.13,548.73,9/03/2023,12:45:00,Credit card,522.6,26.13,6.2
308-81-0538,A,Plymouth,Fashion accessories,73.05,4,14.61,306.81,25/02/2023,17:16:00,Credit card,292.2,14.61,4.9
311-13-6971,B,Bristol,Sports and travel,31.99,10,15.99,335.89,20/02/2023,15:18:00,Credit card,319.9,15.99,9.9
313-66-9943,B,Bristol,Food and beverages,29.15,3,4.37,91.82,27/03/2023,20:29:00,Credit card,87.45,4.37,7.3
314-23-4520,C,Glasgow,Health and beauty,81.23,7,28.43,597.04,15/01/2023,20:44:00,Cash,568.61,28.43,9
315-22-5665,C,Glasgow,Home and lifestyle,73.56,10,36.78,772.38,24/02/2023,11:38:00,Ewallet,735.6,36.78,8
316-01-3952,A,Plymouth,Food and beverages,54.27,5,13.57,284.92,13/03/2023,14:16:00,Ewallet,271.35,13.57,4.6
316-55-4634,B,Bristol,Food and beverages,80.05,5,20.01,420.26,26/01/2023,12:45:00,Credit card,400.25,20.01,9.4
316-66-3011,A,Plymouth,Food and beverages,47.63,9,21.43,450.1,23/01/2023,12:35:00,Cash,428.67,21.43,5
316-68-6352,A,Plymouth,Food and beverages,36.36,2,3.64,76.36,21/01/2023,10:00:00,Cash,72.72,3.64,7.1
318-12-0304,A,Plymouth,Fashion accessories,30.61,1,1.53,32.14,23/01/2023,12:20:00,Ewallet,30.61,1.53,5.2
318-68-5053,B,Bristol,Health and beauty,76.99,6,23.1,485.04,27/02/2023,17:55:00,Cash,461.94,23.1,6.1
318-81-2368,C,Glasgow,Electronic accessories,46.2,1,2.31,48.51,19/03/2023,12:16:00,Cash,46.2,2.31,6.3
319-50-3348,B,Bristol,Home and lifestyle,40.3,2,4.03,84.63,11/03/2023,15:30:00,Ewallet,80.6,4.03,4.4
319-74-2561,A,Plymouth,Electronic accessories,94.64,3,14.2,298.12,21/02/2023,16:55:00,Cash,283.92,14.2,5.5
320-32-8842,C,Glasgow,Food and beverages,22.62,1,1.13,23.75,17/03/2023,18:58:00,Cash,22.62,1.13,6.4
320-49-6392,C,Glasgow,Electronic accessories,30.24,1,1.51,31.75,4/03/2023,15:44:00,Cash,30.24,1.51,8.4
320-85-2052,B,Bristol,Sports and travel,34.81,1,1.74,36.55,14/01/2023,10:11:00,Credit card,34.81,1.74,7
321-49-7382,B,Bristol,Sports and travel,88.31,1,4.42,92.73,15/02/2023,17:38:00,Credit card,88.31,4.42,5.2
322-02-2271,B,Bristol,Sports and travel,42.97,3,6.45,135.36,3/02/2023,11:46:00,Cash,128.91,6.45,9.3
324-41-6833,C,Glasgow,Electronic accessories,30.2,8,12.08,253.68,3/03/2023,19:30:00,Ewallet,241.6,12.08,5.1
324-92-3863,A,Plymouth,Electronic accessories,20.89,2,2.09,43.87,5/02/2023,18:45:00,Cash,41.78,2.09,9.8
325-77-6186,A,Plymouth,Home and lifestyle,90.65,10,45.33,951.83,8/03/2023,10:53:00,Ewallet,906.5,45.33,7.3
325-89-4209,A,Plymouth,Food and beverages,87.9,1,4.39,92.29,5/02/2023,19:42:00,Ewallet,87.9,4.39,6.7
325-90-8763,C,Glasgow,Electronic accessories,46.57,10,23.28,488.98,27/01/2023,13:58:00,Cash,465.7,23.28,7.6
326-71-2155,C,Glasgow,Sports and travel,73.95,4,14.79,310.59,3/02/2023,10:02:00,Cash,295.8,14.79,6.1
326-78-5178,C,Glasgow,Food and beverages,91.4,7,31.99,671.79,3/02/2023,10:19:00,Cash,639.8,31.99,9.5
327-40-9673,B,Bristol,Sports and travel,72.6,6,21.78,457.38,13/01/2023,19:51:00,Cash,435.6,21.78,6.9
329-62-1586,A,Plymouth,Food and beverages,54.67,3,8.2,172.21,21/01/2023,18:00:00,Credit card,164.01,8.2,8.6
333-23-2632,A,Plymouth,Health and beauty,10.08,7,3.53,74.09,28/03/2023,20:14:00,Cash,70.56,3.53,4.2
333-73-7901,C,Glasgow,Health and beauty,54.92,8,21.97,461.33,23/03/2023,13:24:00,Ewallet,439.36,21.97,7.6
334-64-2006,A,Plymouth,Home and lifestyle,70.32,2,7.03,147.67,24/03/2023,14:22:00,Ewallet,140.64,7.03,9.6
336-78-2147,C,Glasgow,Home and lifestyle,63.91,8,25.56,536.84,13/03/2023,19:52:00,Credit card,511.28,25.56,4.6
338-65-2210,C,Glasgow,Health and beauty,68.6,10,34.3,720.3,5/02/2023,19:57:00,Cash,686,34.3,9.1
339-12-4827,B,Bristol,Fashion accessories,73.96,1,3.7,77.66,5/01/2023,11:32:00,Credit card,73.96,3.7,5
339-18-7061,C,Glasgow,Fashion accessories,92.98,2,9.3,195.26,13/02/2023,15:06:00,Credit card,185.96,9.3,8
339-38-9982,B,Bristol,Fashion accessories,59.86,2,5.99,125.71,13/01/2023,14:55:00,Ewallet,119.72,5.99,6.7
339-96-8318,B,Bristol,Fashion accessories,81.31,7,28.46,597.63,1/03/2023,19:49:00,Ewallet,569.17,28.46,6.3
340-21-9136,A,Plymouth,Sports and travel,40.05,4,8.01,168.21,25/01/2023,11:40:00,Cash,160.2,8.01,9.7
340-66-0321,A,Plymouth,Electronic accessories,36.36,4,7.27,152.71,25/03/2023,13:07:00,Cash,145.44,7.27,7.6
342-65-4817,C,Glasgow,Health and beauty,86.8,3,13.02,273.42,28/01/2023,16:47:00,Ewallet,260.4,13.02,9.9
343-61-3544,B,Bristol,Sports and travel,26.67,10,13.34,280.04,29/01/2023,11:48:00,Cash,266.7,13.34,8.6
343-75-9322,B,Bristol,Sports and travel,11.85,8,4.74,99.54,9/01/2023,16:34:00,Cash,94.8,4.74,4.1
343-87-0864,C,Glasgow,Health and beauty,75.88,1,3.79,79.67,3/01/2023,10:30:00,Credit card,75.88,3.79,7.1
345-08-4992,A,Plymouth,Home and lifestyle,33.99,6,10.2,214.14,8/03/2023,15:37:00,Credit card,203.94,10.2,7.7
345-68-9016,C,Glasgow,Sports and travel,31.67,8,12.67,266.03,2/01/2023,16:19:00,Credit card,253.36,12.67,5.6
346-12-3257,B,Bristol,Electronic accessories,19.24,9,8.66,181.82,4/03/2023,16:28:00,Cash,173.16,8.66,8
346-84-3103,B,Bristol,Electronic accessories,13.22,5,3.31,69.4,2/03/2023,19:26:00,Cash,66.1,3.31,4.3
347-34-2234,B,Bristol,Sports and travel,55.07,9,24.78,520.41,3/02/2023,13:40:00,Ewallet,495.63,24.78,10
347-56-2442,A,Plymouth,Home and lifestyle,65.82,1,3.29,69.11,22/02/2023,15:33:00,Cash,65.82,3.29,4.1
347-72-6115,B,Bristol,Sports and travel,90.74,7,31.76,666.94,16/01/2023,18:03:00,Credit card,635.18,31.76,6.2
349-97-8902,B,Bristol,Food and beverages,57.89,2,5.79,121.57,17/01/2023,10:37:00,Ewallet,115.78,5.79,8.9
351-62-0822,B,Bristol,Fashion accessories,14.48,4,2.9,60.82,6/02/2023,18:07:00,Ewallet,57.92,2.9,4.5
354-25-5821,B,Bristol,Sports and travel,69.12,6,20.74,435.46,8/02/2023,13:03:00,Cash,414.72,20.74,5.6
354-39-5160,A,Plymouth,Home and lifestyle,34.42,6,10.33,216.85,18/02/2023,15:39:00,Cash,206.52,10.33,9.8
355-34-6244,B,Bristol,Food and beverages,72.39,2,7.24,152.02,13/01/2023,19:55:00,Credit card,144.78,7.24,8.1
355-53-5943,A,Plymouth,Electronic accessories,68.84,6,20.65,433.69,25/02/2023,14:36:00,Ewallet,413.04,20.65,5.8
356-44-8813,B,Bristol,Home and lifestyle,37.48,3,5.62,118.06,20/01/2023,13:45:00,Credit card,112.44,5.62,7.7
358-88-9262,C,Glasgow,Food and beverages,87.48,6,26.24,551.12,1/02/2023,18:43:00,Ewallet,524.88,26.24,5.1
359-90-3665,B,Bristol,Fashion accessories,18.08,4,3.62,75.94,14/01/2023,18:03:00,Credit card,72.32,3.62,9.5
359-94-5395,B,Bristol,Health and beauty,92.78,1,4.64,97.42,15/03/2023,10:50:00,Credit card,92.78,4.64,9.8
360-39-5055,C,Glasgow,Sports and travel,48.91,5,12.23,256.78,9/03/2023,10:17:00,Cash,244.55,12.23,6.6
361-59-0574,B,Bristol,Sports and travel,90.53,8,36.21,760.45,15/03/2023,14:48:00,Credit card,724.24,36.21,6.5
361-85-2571,A,Plymouth,Sports and travel,89.48,5,22.37,469.77,30/03/2023,10:18:00,Cash,447.4,22.37,7.4
362-58-8315,C,Glasgow,Fashion accessories,76.52,5,19.13,401.73,25/03/2023,10:23:00,Cash,382.6,19.13,9.9
364-33-8584,B,Bristol,Food and beverages,17.63,5,4.41,92.56,8/03/2023,15:27:00,Cash,88.15,4.41,8.5
364-34-2972,C,Glasgow,Electronic accessories,96.82,3,14.52,304.98,30/03/2023,20:37:00,Cash,290.46,14.52,6.7
365-16-4334,B,Bristol,Food and beverages,26.43,8,10.57,222.01,24/02/2023,14:26:00,Ewallet,211.44,10.57,8.9
365-64-0515,A,Plymouth,Electronic accessories,46.95,5,11.74,246.49,12/02/2023,10:25:00,Ewallet,234.75,11.74,7.1
366-43-6862,B,Bristol,Electronic accessories,52.89,4,10.58,222.14,25/03/2023,16:32:00,Ewallet,211.56,10.58,6.7
366-93-0948,A,Plymouth,Electronic accessories,66.35,1,3.32,69.67,31/01/2023,10:46:00,Credit card,66.35,3.32,9.7
369-82-2676,B,Bristol,Electronic accessories,75.66,5,18.92,397.21,15/01/2023,18:22:00,Ewallet,378.3,18.92,7.8
370-41-7321,B,Bristol,Health and beauty,56.69,9,25.51,535.72,27/02/2023,17:24:00,Credit card,510.21,25.51,8.4
370-96-0655,C,Glasgow,Fashion accessories,49.32,6,14.8,310.72,9/01/2023,13:46:00,Ewallet,295.92,14.8,7.1
371-85-5789,B,Bristol,Health and beauty,87.98,3,13.2,277.14,5/03/2023,10:40:00,Ewallet,263.94,13.2,5.1
372-26-1506,C,Glasgow,Fashion accessories,23.82,5,5.95,125.06,28/01/2023,19:24:00,Ewallet,119.1,5.95,5.4
372-62-5264,C,Glasgow,Food and beverages,52.6,9,23.67,497.07,16/01/2023,14:42:00,Cash,473.4,23.67,7.6
372-94-8041,A,Plymouth,Health and beauty,15.26,6,4.58,96.14,15/02/2023,18:03:00,Ewallet,91.56,4.58,9.8
373-09-4567,C,Glasgow,Food and beverages,77.56,10,38.78,814.38,14/03/2023,20:35:00,Ewallet,775.6,38.78,6.9
373-14-0504,A,Plymouth,Sports and travel,71.63,2,7.16,150.42,12/02/2023,14:33:00,Ewallet,143.26,7.16,8.8
373-73-7910,A,Plymouth,Sports and travel,86.31,7,30.21,634.38,8/02/2023,10:37:00,Ewallet,604.17,30.21,5.3
373-88-1424,C,Glasgow,Home and lifestyle,35.81,5,8.95,188,6/02/2023,18:44:00,Ewallet,179.05,8.95,7.9
374-17-3652,B,Bristol,Food and beverages,42.82,9,19.27,404.65,5/02/2023,15:26:00,Credit card,385.38,19.27,8.9
374-38-5555,B,Bristol,Fashion accessories,63.71,5,15.93,334.48,7/02/2023,19:30:00,Ewallet,318.55,15.93,8.5
375-72-3056,B,Bristol,Sports and travel,63.06,3,9.46,198.64,19/01/2023,15:58:00,Ewallet,189.18,9.46,7
376-02-8238,B,Bristol,Home and lifestyle,93.87,8,37.55,788.51,2/02/2023,18:42:00,Credit card,750.96,37.55,8.3
376-56-3573,C,Glasgow,Fashion accessories,95.42,4,19.08,400.76,2/02/2023,13:23:00,Ewallet,381.68,19.08,6.4
377-79-7592,C,Glasgow,Electronic accessories,44.84,9,20.18,423.74,14/01/2023,14:00:00,Credit card,403.56,20.18,7.5
378-07-7001,B,Bristol,Electronic accessories,48.09,3,7.21,151.48,10/02/2023,18:23:00,Credit card,144.27,7.21,7.8
378-24-2715,B,Bristol,Home and lifestyle,53.44,2,5.34,112.22,20/01/2023,20:38:00,Ewallet,106.88,5.34,4.1
379-17-6588,C,Glasgow,Fashion accessories,59.61,10,29.81,625.91,14/03/2023,11:07:00,Cash,596.1,29.81,5.3
380-60-5336,A,Plymouth,Electronic accessories,40.26,10,20.13,422.73,24/02/2023,18:06:00,Credit card,402.6,20.13,5
380-94-4661,C,Glasgow,Electronic accessories,65.94,4,13.19,276.95,7/02/2023,13:05:00,Credit card,263.76,13.19,6.9
381-20-0914,A,Plymouth,Fashion accessories,20.01,9,9,189.09,12/01/2023,15:48:00,Credit card,180.09,9,5.7
382-03-4532,A,Plymouth,Health and beauty,18.33,1,0.92,19.25,2/02/2023,18:50:00,Cash,18.33,0.92,4.3
382-25-8917,C,Glasgow,Fashion accessories,42.08,6,12.62,265.1,29/01/2023,12:25:00,Cash,252.48,12.62,8.9
384-59-6655,A,Plymouth,Food and beverages,98.66,9,44.4,932.34,19/02/2023,15:07:00,Cash,887.94,44.4,8.4
386-27-7606,C,Glasgow,Home and lifestyle,81.2,7,28.42,596.82,23/03/2023,15:59:00,Credit card,568.4,28.42,8.1
387-49-4215,B,Bristol,Sports and travel,48.5,3,7.28,152.77,8/01/2023,12:50:00,Cash,145.5,7.28,6.7
388-76-2555,B,Bristol,Sports and travel,13.69,6,4.11,86.25,13/02/2023,13:59:00,Cash,82.14,4.11,6.3
389-25-3394,C,Glasgow,Electronic accessories,11.81,5,2.95,62,17/02/2023,18:06:00,Cash,59.05,2.95,9.4
389-70-2397,C,Glasgow,Health and beauty,83.66,5,20.92,439.21,21/02/2023,10:26:00,Cash,418.3,20.92,7.2
390-17-5806,C,Glasgow,Food and beverages,38.42,1,1.92,40.34,2/02/2023,16:33:00,Cash,38.42,1.92,8.6
390-31-6381,C,Glasgow,Food and beverages,27.22,3,4.08,85.74,7/01/2023,12:37:00,Cash,81.66,4.08,7.3
390-80-5128,B,Bristol,Health and beauty,19.15,1,0.96,20.11,28/01/2023,17:58:00,Credit card,19.15,0.96,9.5
393-65-2792,C,Glasgow,Food and beverages,89.48,10,44.74,939.54,6/01/2023,12:46:00,Credit card,894.8,44.74,9.6
394-30-3170,B,Bristol,Sports and travel,88.43,8,35.37,742.81,22/03/2023,19:35:00,Credit card,707.44,35.37,4.3
394-41-0748,C,Glasgow,Fashion accessories,54.07,9,24.33,510.96,27/01/2023,14:55:00,Ewallet,486.63,24.33,9.5
394-43-4238,B,Bristol,Home and lifestyle,17.77,5,4.44,93.29,15/02/2023,12:42:00,Credit card,88.85,4.44,5.4
394-55-6384,C,Glasgow,Sports and travel,70.19,9,31.59,663.3,25/01/2023,13:38:00,Cash,631.71,31.59,6.7
396-90-2219,B,Bristol,Electronic accessories,14.96,8,5.98,125.66,23/02/2023,12:29:00,Cash,119.68,5.98,8.6
397-25-8725,A,Plymouth,Health and beauty,39.62,9,17.83,374.41,13/01/2023,17:54:00,Credit card,356.58,17.83,6.8
399-46-5918,C,Glasgow,Electronic accessories,85.98,8,34.39,722.23,28/02/2023,19:01:00,Cash,687.84,34.39,8.2
399-69-4630,C,Glasgow,Electronic accessories,22.21,6,6.66,139.92,7/03/2023,10:23:00,Credit card,133.26,6.66,8.6
400-45-1220,B,Bristol,Health and beauty,13.5,10,6.75,141.75,27/02/2023,11:06:00,Credit card,135,6.75,4.8
400-60-7251,A,Plymouth,Home and lifestyle,74.07,1,3.7,77.77,10/02/2023,12:50:00,Ewallet,74.07,3.7,9.9
400-80-4065,C,Glasgow,Health and beauty,68.55,4,13.71,287.91,15/02/2023,20:21:00,Credit card,274.2,13.71,9.2
400-89-4171,C,Glasgow,Sports and travel,80.97,8,32.39,680.15,28/01/2023,13:05:00,Cash,647.76,32.39,9.3
401-09-4232,C,Glasgow,Home and lifestyle,86.69,5,21.67,455.12,11/02/2023,18:38:00,Ewallet,433.45,21.67,9.4
401-18-8016,B,Bristol,Sports and travel,98.13,1,4.91,103.04,21/01/2023,17:36:00,Cash,98.13,4.91,8.9
404-91-5964,A,Plymouth,Electronic accessories,74.58,7,26.1,548.16,4/02/2023,16:09:00,Credit card,522.06,26.1,9
405-31-3305,A,Plymouth,Fashion accessories,43.13,10,21.57,452.86,2/02/2023,18:31:00,Credit card,431.3,21.57,5.5
406-46-7107,A,Plymouth,Home and lifestyle,96.52,6,28.96,608.08,11/01/2023,11:52:00,Cash,579.12,28.96,4.5
407-63-8975,A,Plymouth,Food and beverages,73.88,6,22.16,465.44,23/03/2023,19:16:00,Ewallet,443.28,22.16,4.4
408-26-9866,C,Glasgow,Sports and travel,73.98,7,25.89,543.75,2/03/2023,16:42:00,Ewallet,517.86,25.89,4.1
408-66-6712,C,Glasgow,Health and beauty,47.71,6,14.31,300.57,16/02/2023,14:19:00,Ewallet,286.26,14.31,4.4
409-33-9708,A,Plymouth,Fashion accessories,98.48,2,9.85,206.81,19/02/2023,10:12:00,Ewallet,196.96,9.85,9.2
409-49-6995,C,Glasgow,Food and beverages,47.27,6,14.18,297.8,5/02/2023,10:17:00,Cash,283.62,14.18,8.8
410-67-1709,A,Plymouth,Fashion accessories,63.88,8,25.55,536.59,20/01/2023,17:48:00,Ewallet,511.04,25.55,9.9
411-77-0180,A,Plymouth,Electronic accessories,72.2,7,25.27,530.67,26/03/2023,20:14:00,Ewallet,505.4,25.27,4.3
413-20-6708,C,Glasgow,Fashion accessories,51.47,1,2.57,54.04,18/03/2023,15:52:00,Ewallet,51.47,2.57,8.5
414-12-7047,B,Bristol,Food and beverages,19.79,8,7.92,166.24,18/01/2023,12:04:00,Ewallet,158.32,7.92,8.7
416-13-5917,C,Glasgow,Food and beverages,97.03,5,24.26,509.41,30/01/2023,16:24:00,Ewallet,485.15,24.26,9.3
416-17-9926,A,Plymouth,Electronic accessories,74.22,10,37.11,779.31,1/01/2023,14:42:00,Credit card,742.2,37.11,4.3
418-02-5978,B,Bristol,Health and beauty,84.09,9,37.84,794.65,11/02/2023,10:54:00,Cash,756.81,37.84,8
418-05-0656,B,Bristol,Fashion accessories,25.56,7,8.95,187.87,2/02/2023,20:42:00,Cash,178.92,8.95,7.1
420-04-7590,B,Bristol,Home and lifestyle,99.7,3,14.95,314.05,18/03/2023,11:29:00,Ewallet,299.1,14.95,4.7
420-11-4919,C,Glasgow,Food and beverages,71.39,5,17.85,374.8,17/02/2023,19:57:00,Credit card,356.95,17.85,5.5
420-18-8989,A,Plymouth,Sports and travel,51.52,8,20.61,432.77,2/02/2023,15:47:00,Cash,412.16,20.61,9.6
420-97-3340,A,Plymouth,Food and beverages,71.68,3,10.75,225.79,28/03/2023,15:30:00,Credit card,215.04,10.75,9.2
421-95-9805,A,Plymouth,Electronic accessories,28.96,1,1.45,30.41,7/02/2023,10:18:00,Credit card,28.96,1.45,6.2
422-29-8786,A,Plymouth,Home and lifestyle,67.09,5,16.77,352.22,3/01/2023,16:47:00,Credit card,335.45,16.77,9.1
423-57-2993,B,Bristol,Sports and travel,93.39,6,28.02,588.36,27/03/2023,19:18:00,Ewallet,560.34,28.02,10
423-64-4619,A,Plymouth,Health and beauty,15.55,9,7,146.95,7/03/2023,13:12:00,Cash,139.95,7,5
423-80-0988,C,Glasgow,Sports and travel,76.4,2,7.64,160.44,30/01/2023,19:42:00,Ewallet,152.8,7.64,6.5
425-85-2085,B,Bristol,Health and beauty,54.86,5,13.72,288.02,29/03/2023,16:48:00,Ewallet,274.3,13.72,9.8
426-39-2418,C,Glasgow,Electronic accessories,61.41,7,21.49,451.36,14/01/2023,10:02:00,Cash,429.87,21.49,9.8
427-45-9297,B,Bristol,Home and lifestyle,40.73,7,14.26,299.37,12/03/2023,11:01:00,Ewallet,285.11,14.26,5.4
428-83-5800,C,Glasgow,Food and beverages,21.08,3,3.16,66.4,9/02/2023,10:25:00,Cash,63.24,3.16,7.3
430-02-3888,B,Bristol,Electronic accessories,46.02,6,13.81,289.93,7/02/2023,15:55:00,Cash,276.12,13.81,7.1
430-53-4718,B,Bristol,Health and beauty,75.37,8,30.15,633.11,28/01/2023,15:46:00,Credit card,602.96,30.15,8.4
430-60-3493,A,Plymouth,Home and lifestyle,94.88,7,33.21,697.37,3/02/2023,14:38:00,Cash,664.16,33.21,4.2
431-66-2305,B,Bristol,Electronic accessories,88.25,9,39.71,833.96,15/02/2023,20:51:00,Credit card,794.25,39.71,7.6
433-08-7822,C,Glasgow,Health and beauty,78.89,7,27.61,579.84,5/01/2023,19:48:00,Ewallet,552.23,27.61,7.5
433-75-6987,B,Bristol,Health and beauty,55.97,7,19.59,411.38,5/03/2023,19:06:00,Ewallet,391.79,19.59,8.9
434-35-9162,B,Bristol,Food and beverages,23.34,4,4.67,98.03,4/02/2023,18:53:00,Ewallet,93.36,4.67,7.4
434-83-9547,C,Glasgow,Food and beverages,38.47,8,15.39,323.15,23/01/2023,11:51:00,Cash,307.76,15.39,7.7
435-13-4908,A,Plymouth,Fashion accessories,86.68,8,34.67,728.11,24/01/2023,18:04:00,Credit card,693.44,34.67,7.2
436-54-4512,A,Plymouth,Food and beverages,91.61,1,4.58,96.19,20/03/2023,19:44:00,Cash,91.61,4.58,9.8
437-53-3084,B,Bristol,Fashion accessories,99.89,2,9.99,209.77,26/02/2023,11:48:00,Ewallet,199.78,9.99,7.1
437-58-8131,B,Bristol,Fashion accessories,73.52,2,7.35,154.39,15/01/2023,13:41:00,Ewallet,147.04,7.35,4.6
